design	output	parameter	n_samples	S1	ST
current	peak_I_child	beta	32	-0.2702	0.8310
current	peak_I_child	gamma	32	0.2564	1.0480
current	peak_I_child	sigma	32	-0.2849	0.5032
current	peak_I_adult	beta	32	-0.3288	0.8101
current	peak_I_adult	gamma	32	0.2475	1.0459
current	peak_I_adult	sigma	32	-0.2720	0.5115
current	peak_I_child	beta	64	-0.0510	0.6395
current	peak_I_child	gamma	64	0.7606	0.9450
current	peak_I_child	sigma	64	0.9256	1.0801
current	peak_I_adult	beta	64	-0.0598	0.6449
current	peak_I_adult	gamma	64	0.7052	0.9261
current	peak_I_adult	sigma	64	0.8773	1.0695
current	peak_I_child	beta	128	0.0658	0.9382
current	peak_I_child	gamma	128	-0.1508	0.8516
current	peak_I_child	sigma	128	0.0827	0.9419
current	peak_I_adult	beta	128	0.0790	0.9377
current	peak_I_adult	gamma	128	-0.1286	0.8537
current	peak_I_adult	sigma	128	0.1171	0.9575
current	peak_I_child	beta	256	-0.0833	0.9792
current	peak_I_child	gamma	256	0.0206	0.9480
current	peak_I_child	sigma	256	0.5299	0.9087
current	peak_I_adult	beta	256	-0.0646	0.9852
current	peak_I_adult	gamma	256	0.0327	0.9505
current	peak_I_adult	sigma	256	0.5138	0.9073
