design	output	parameter	n_samples	S1	ST
narrow_gamma	peak_I_child	beta	128	0.0188	1.0869
narrow_gamma	peak_I_child	gamma	128	0.2603	0.7251
narrow_gamma	peak_I_child	sigma	128	0.7729	1.4313
narrow_gamma	peak_I_adult	beta	128	0.0369	1.0748
narrow_gamma	peak_I_adult	gamma	128	0.2506	0.6969
narrow_gamma	peak_I_adult	sigma	128	0.7711	1.4123
narrow_gamma	peak_I_child	beta	256	0.0304	1.4152
narrow_gamma	peak_I_child	gamma	256	-0.2734	1.0802
narrow_gamma	peak_I_child	sigma	256	0.0492	1.0244
narrow_gamma	peak_I_adult	beta	256	0.0417	1.3928
narrow_gamma	peak_I_adult	gamma	256	-0.2546	1.0399
narrow_gamma	peak_I_adult	sigma	256	0.0442	1.0201
narrow_gamma	peak_I_child	beta	512	0.4242	1.0055
narrow_gamma	peak_I_child	gamma	512	0.4588	1.0073
narrow_gamma	peak_I_child	sigma	512	-0.0447	0.0465
narrow_gamma	peak_I_adult	beta	512	0.4010	1.0048
narrow_gamma	peak_I_adult	gamma	512	0.4409	1.0064
narrow_gamma	peak_I_adult	sigma	512	-0.0639	0.0586
narrow_gamma	peak_I_child	beta	1024	0.0448	0.0472
narrow_gamma	peak_I_child	gamma	1024	0.2914	0.2827
narrow_gamma	peak_I_child	sigma	1024	0.6532	0.6754
narrow_gamma	peak_I_adult	beta	1024	0.0489	0.0598
narrow_gamma	peak_I_adult	gamma	1024	0.2997	0.2962
narrow_gamma	peak_I_adult	sigma	1024	0.6284	0.6518
