point_id	scenario	seed	final_E_adult	final_E_child	final_I_adult	final_I_child	final_R_adult	final_R_child	final_S_adult	final_S_child	integral_E_adult	integral_E_child	integral_I_adult	integral_I_child	integral_R_adult	integral_R_child	integral_S_adult	integral_S_child	peak_E_adult	peak_E_child	peak_I_adult	peak_I_child	peak_R_adult	peak_R_child	peak_S_adult	peak_S_child	tpeak_E_adult	tpeak_E_child	tpeak_I_adult	tpeak_I_child	tpeak_R_adult	tpeak_R_child	tpeak_S_adult	tpeak_S_child
0	baseline	1	0	0	0	1	5000	4999	0	0	31186	31249	46077	46718	369049	374547	58688	52486	2717	2809	2100	2117	5000	4999	5000	4990	14	13	19	18	95	90	0	0
0	baseline	2	0	0	1	0	4999	5000	0	0	32024	31126	46378	46376	373625	380042	52973	47456	2756	2800	2074	2111	4999	5000	5000	4990	13	12	18	19	96	90	0	0
0	baseline	3	0	0	1	2	4999	4998	0	0	32049	31869	47520	46309	374472	380383	50959	46439	2778	2834	2110	2081	4999	4998	5000	4990	13	12	19	17	100	94	0	0
1	baseline	1	0	0	0	0	5000	5000	0	0	19797	19752	21340	21926	391162	397488	72701	65834	1851	1973	1476	1559	5000	5000	5000	4990	17	15	20	18	71	63	0	0
1	baseline	2	0	0	0	0	4998	5000	2	0	19807	19594	21828	21945	398673	405484	64692	57977	1881	1973	1478	1641	4998	5000	5000	4990	15	13	18	17	62	62	0	0
1	baseline	3	0	0	0	0	4998	5000	2	0	20249	19945	21618	21641	396039	403103	67094	60311	1922	1921	1496	1494	4998	5000	5000	4990	15	15	19	17	59	58	0	0
2	baseline	1	0	0	11	15	4989	4985	0	0	12211	12797	78307	77301	383905	387148	30577	27754	2482	2432	3485	3425	4989	4985	5000	4990	7	6	11	11	100	100	0	0
2	baseline	2	0	0	10	13	4990	4987	0	0	12766	12539	76819	75068	386373	390892	29042	26501	2420	2556	3385	3446	4990	4987	5000	4990	7	6	11	11	100	100	0	0
2	baseline	3	0	0	12	16	4988	4984	0	0	12788	12560	77745	79100	387260	388804	27207	24536	2441	2516	3467	3443	4988	4984	5000	4990	6	6	11	10	99	98	0	0
3	baseline	1	0	0	0	0	4999	5000	1	0	7914	7744	35872	36491	405928	410594	55286	50171	1245	1312	2679	2794	4999	5000	5000	4990	12	11	15	14	77	65	0	0
3	baseline	2	0	0	0	0	5000	5000	0	0	7967	7913	35953	35434	410478	415956	50602	45697	1266	1316	2710	2755	5000	5000	5000	4990	11	10	14	13	87	67	0	0
3	baseline	3	0	0	0	0	5000	5000	0	0	8119	7871	36570	35252	411521	417240	48790	44637	1324	1345	2766	2755	5000	5000	5000	4990	11	10	14	13	69	73	0	0
4	baseline	1	0	0	0	0	5000	5000	0	0	44922	46164	16671	16834	379080	385001	64327	57001	2797	2876	872	865	5000	5000	5000	4990	16	15	20	17	91	93	0	0
4	baseline	2	0	0	0	0	5000	5000	0	0	46334	44890	16740	16765	379335	388658	62591	54687	2853	2927	864	919	5000	5000	5000	4990	16	14	18	16	91	94	0	0
4	baseline	3	0	1	0	0	5000	4999	0	0	47215	45509	16814	16869	378959	387638	62012	54984	2870	2867	828	891	5000	4999	5000	4990	16	15	19	17	92	85	0	0
5	baseline	1	0	0	4	5	4996	4995	0	0	28092	28901	60569	58971	352722	359432	63617	57696	2555	2589	2458	2398	4996	4995	5000	4990	15	14	21	20	99	97	0	0
5	baseline	2	0	0	6	3	4994	4997	0	0	29128	28750	60826	60163	359600	366289	55446	49798	2547	2602	2366	2489	4994	4997	5000	4990	14	12	19	19	99	97	0	0
5	baseline	3	0	0	4	7	4996	4993	0	0	29443	28824	60166	59947	359511	366049	55880	50180	2557	2637	2359	2410	4996	4993	5000	4990	14	13	20	19	98	99	0	0
6	baseline	1	0	0	0	0	5000	5000	0	0	17705	18225	28199	28165	427353	430023	31743	28587	2728	2830	2178	2128	5000	5000	5000	4990	7	7	11	10	71	57	0	0
6	baseline	2	0	0	0	0	5000	5000	0	0	18422	18031	27588	27839	428070	431235	30920	27895	2759	2852	2105	2136	5000	5000	5000	4990	7	7	10	10	63	54	0	0
6	baseline	3	0	0	0	0	5000	5000	0	0	18397	18269	27969	27778	428711	431876	29923	27077	2760	2824	2110	2105	5000	5000	5000	4990	7	7	11	10	56	57	0	0
7	baseline	1	0	0	0	0	4838	4939	162	61	11117	11065	12578	12921	384311	400676	96994	80338	1044	1073	1011	1068	4838	4939	5000	4990	17	16	19	18	52	48	0	0
7	baseline	2	0	0	0	0	4828	4941	172	59	11216	11248	12312	12983	384528	401999	96944	78770	1024	1094	953	1073	4828	4941	5000	4990	18	16	20	18	49	55	0	0
7	baseline	3	0	0	0	0	4842	4958	158	42	11287	11441	12715	12665	390335	408126	90663	72768	1043	1145	1027	1061	4842	4958	5000	4990	16	15	19	18	52	51	0	0
8	baseline	1	0	0	28	36	4972	4964	0	0	7081	7313	91671	91285	375929	378769	30319	27633	1746	1895	3912	3921	4972	4964	5000	4990	7	6	10	9	99	100	0	0
8	baseline	2	0	0	32	32	4968	4968	0	0	7321	7201	92038	91715	377323	380028	28318	26056	1795	1875	3903	3939	4968	4968	5000	4990	6	6	10	9	100	100	0	0
8	baseline	3	0	0	35	26	4965	4974	0	0	7325	7250	93284	89404	377553	384037	26838	24309	1858	1831	3955	3908	4965	4974	5000	4990	6	5	9	9	100	100	0	0
9	baseline	1	0	0	2	2	4998	4998	0	0	41431	41656	42884	42465	341979	350887	78706	69992	2659	2699	1715	1685	4998	4998	5000	4990	19	17	25	23	97	99	0	0
9	baseline	2	1	1	2	2	4997	4997	0	0	41244	41974	42892	43197	346119	352693	74745	67136	2576	2721	1699	1740	4997	4997	5000	4990	19	17	24	25	97	95	0	0
