point_id	beta	gamma	sigma
0	0.28284271	0.10772173	0.15848932
1	0.23784142	0.23207944	0.25118864
2	0.33635857	0.06457748	0.39810717
3	0.21810155	0.13912797	0.63095734
4	0.30844217	0.29974213	0.10964782
5	0.25936791	0.08340503	0.17378008
6	0.36680162	0.17969068	0.27542287
7	0.20885476	0.38713184	0.43651583
8	0.29536523	0.05445115	0.69183097
9	0.24837156	0.11731144	0.12022644
10	0.35125043	0.25273984	0.19054607
11	0.22775773	0.07032636	0.30199517
12	0.32209807	0.15151355	0.47863009
13	0.27085111	0.32642606	0.75857758
14	0.38304131	0.09082999	0.13182567
15	0.20437943	0.19568728	0.20892961
16	0.28903616	0.42159546	0.33113112
17	0.24304947	0.05929855	0.52480746
18	0.34372386	0.12775485	0.83176377
19	0.22287735	0.27523949	0.14454398
20	0.31519617	0.07658702	0.22908677
21	0.26504733	0.16500174	0.36307805
22	0.37483353	0.35548547	0.57543994
23	0.21342808	0.09891594	0.91201084
24	0.30183289	0.21310794	0.10185914
25	0.25381019	0.45912714	0.16143586
26	0.35894182	0.05144174	0.25585859
27	0.23274497	0.11082788	0.40550854
28	0.32915110	0.23877142	0.64268772
29	0.27678198	0.06643957	0.11168632
30	0.39142882	0.14313971	0.17701090
31	0.20217786	0.30838515	0.28054336
32	0.28592267	0.08581000	0.44463127
33	0.24043135	0.18487204	0.70469307
34	0.34002127	0.39829474	0.12246162
35	0.22047652	0.05602124	0.19408859
36	0.31180088	0.12069410	0.30760968
37	0.26219224	0.26002756	0.48752849
38	0.37079583	0.07235421	0.77268059
39	0.21112904	0.15588243	0.13427650
40	0.29858155	0.33583851	0.21281390
41	0.25107615	0.09344906	0.33728731
42	0.35507530	0.20132990	0.53456436
43	0.23023785	0.43375212	0.84722741
44	0.32560548	0.06100842	0.14723125
45	0.27380048	0.13143865	0.23334581
46	0.38721236	0.28317599	0.36982818
47	0.20660498	0.07879540	0.58613816
48	0.29218356	0.16975954	0.92896639
49	0.24569611	0.36573585	0.10375284
50	0.34746677	0.10176817	0.16443717
51	0.22530432	0.21925288	0.26061535
52	0.31862843	0.47236602	0.41304750
53	0.26793350	0.05292506	0.65463617
54	0.37891520	0.11402359	0.11376273
55	0.21575216	0.24565637	0.18030177
56	0.30511963	0.06835534	0.28575905
57	0.25657400	0.14726712	0.45289758
58	0.36285044	0.31727740	0.71779429
59	0.23527940	0.08828432	0.12473835
60	0.33273532	0.19020281	0.19769696
61	0.27979593	0.40977952	0.31332857
62	0.39569121	0.05763661	0.49659232
63	0.20108598	0.12417430	0.78704579
64	0.28437852	0.26752543	0.13677288
65	0.23913288	0.07444054	0.21677041
66	0.33818496	0.16037728	0.34355795
67	0.21928582	0.34552238	0.54450265
68	0.31011698	0.09614365	0.86297855
69	0.26077625	0.20713522	0.14996848
70	0.36879331	0.44625931	0.23768403
71	0.20998882	0.06276759	0.37670380
72	0.29696903	0.13522867	0.59703529
73	0.24972020	0.29134133	0.94623716
74	0.35315769	0.08106746	0.10568175
