point_id	scenario	seed	cum_E_adult	cum_E_child	cum_I_adult	cum_I_child	cum_R_adult	cum_R_child	cum_S_adult	cum_S_child	final_E_adult	final_E_child	final_I_adult	final_I_child	final_R_adult	final_R_child	final_S_adult	final_S_child	peak_E_adult	peak_E_child	peak_I_adult	peak_I_child	peak_R_adult	peak_R_child	peak_S_adult	peak_S_child	tpeak_E_adult	tpeak_E_child	tpeak_I_adult	tpeak_I_child	tpeak_R_adult	tpeak_R_child	tpeak_S_adult	tpeak_S_child
0	baseline	1	31308	31594	35087	34591	379329	385355	59276	53460	0	0	0	0	5000	5000	0	0	2649	2767	1791	1800	5000	5000	5000	4990	14	13	19	18	80	93	0	0
0	baseline	2	31064	31462	35281	34505	383838	389865	54817	49168	0	0	0	0	5000	5000	0	0	2657	2739	1810	1845	5000	5000	5000	4990	13	12	18	16	92	94	0	0
0	baseline	3	32196	30950	35222	34453	384200	391607	53382	47990	0	0	0	0	5000	5000	0	0	2758	2735	1800	1803	5000	5000	5000	4990	13	12	17	17	77	88	0	0
1	baseline	1	19617	19539	24120	24352	390269	396750	70994	64359	0	0	0	0	5000	5000	0	0	1912	2024	1652	1716	5000	5000	5000	4990	16	15	19	18	71	64	0	0
1	baseline	2	19736	19793	24346	24273	397118	403247	63800	57687	0	0	0	0	4999	5000	1	0	1917	2039	1593	1764	4999	5000	5000	4990	15	13	18	17	61	58	0	0
1	baseline	3	20423	20093	24335	24196	395720	402156	64522	58555	0	0	0	0	5000	5000	0	0	1976	2012	1630	1661	5000	5000	5000	4990	15	14	18	17	62	65	0	0
2	baseline	1	12369	12795	45124	44646	416498	419495	31009	28064	0	0	1	0	4999	5000	0	0	2453	2392	2947	2898	4999	5000	5000	4990	7	7	10	10	76	70	0	0
2	baseline	2	12806	12642	44065	45131	418344	420018	29785	27209	0	0	0	0	5000	5000	0	0	2406	2449	2858	2938	5000	5000	5000	4990	7	6	11	10	92	94	0	0
2	baseline	3	12722	12464	44359	44015	419760	422918	28159	25603	0	0	1	0	4999	5000	0	0	2362	2504	2902	2953	4999	5000	5000	4990	7	6	10	9	73	90	0	0
3	baseline	1	7937	7718	30719	30823	410788	415905	55556	50554	0	0	0	0	5000	5000	0	0	1212	1292	2450	2590	5000	5000	5000	4990	12	11	15	14	71	59	0	0
3	baseline	2	7903	7991	30629	30888	415056	419801	51412	46320	0	0	0	0	4999	5000	1	0	1242	1284	2519	2566	4999	5000	5000	4990	11	10	14	13	69	60	0	0
3	baseline	3	8003	7941	30911	30662	415913	420463	50173	45934	0	0	0	0	4999	5000	1	0	1283	1308	2531	2571	4999	5000	5000	4990	11	10	14	13	62	63	0	0
4	baseline	1	45078	46731	21148	21726	374816	379799	63958	56744	1	0	0	0	4999	5000	0	0	2903	2958	1076	1075	4999	5000	5000	4990	16	15	20	18	94	88	0	0
4	baseline	2	45864	45433	21375	21138	377384	384816	60377	53613	0	1	0	1	5000	4998	0	0	2920	3015	1065	1090	5000	4998	5000	4990	15	14	19	18	98	81	0	0
4	baseline	3	46478	45691	21664	21343	377648	384961	59210	53005	0	0	0	1	5000	4999	0	0	2964	3031	1071	1118	5000	4999	5000	4990	15	14	19	18	98	87	0	0
5	baseline	1	28506	28887	39120	39636	372943	378316	64431	58161	0	0	0	0	5000	5000	0	0	2492	2504	1966	1951	5000	5000	5000	4990	15	14	20	19	84	93	0	0
5	baseline	2	29016	28908	39452	39795	378487	383608	58045	52689	0	0	0	0	5000	5000	0	0	2439	2565	1923	2022	5000	5000	5000	4990	14	13	18	19	92	94	0	0
5	baseline	3	29638	29157	39911	38854	375504	383429	59947	53560	0	0	0	1	5000	4999	0	0	2504	2543	1919	1915	5000	4999	5000	4990	15	13	20	18	98	92	0	0
6	baseline	1	17807	18160	27648	27109	427704	431123	31841	28608	0	0	0	0	5000	5000	0	0	2716	2828	2137	2106	5000	5000	5000	4990	7	7	11	10	57	52	0	0
6	baseline	2	18499	18067	26982	27131	428624	431878	30895	27924	0	0	0	0	5000	5000	0	0	2758	2852	2083	2109	5000	5000	5000	4990	7	7	10	11	63	54	0	0
6	baseline	3	18467	18305	27358	26944	429192	432652	29983	27099	0	0	0	0	5000	5000	0	0	2763	2820	2074	2074	5000	5000	5000	4990	7	7	11	10	56	57	0	0
7	baseline	1	11427	11283	18516	19132	394742	404720	80315	69865	0	0	0	0	4961	4994	39	6	1169	1236	1467	1609	4961	4994	5000	4990	17	15	20	18	62	54	0	0
7	baseline	2	11134	11132	18923	19248	405519	414364	69424	60256	0	0	0	0	4972	4994	28	6	1213	1273	1526	1660	4972	4994	5000	4990	15	13	18	16	48	58	0	0
7	baseline	3	11671	11431	19045	18696	403436	412254	70848	62619	0	0	0	0	4974	4996	26	4	1259	1309	1511	1591	4974	4996	5000	4990	15	14	18	16	54	53	0	0
8	baseline	1	7098	7184	48802	47668	418102	421743	30998	28405	0	0	1	0	4999	5000	0	0	1777	1818	3414	3401	4999	5000	5000	4990	7	6	9	9	80	72	0	0
8	baseline	2	7214	7219	47857	48205	420895	422924	29034	26652	0	0	0	0	5000	5000	0	0	1722	1889	3327	3422	5000	5000	5000	4990	6	6	9	9	91	94	0	0
8	baseline	3	7206	7202	48392	49076	421537	423397	27865	25325	0	0	0	1	5000	4999	0	0	1798	1840	3406	3452	5000	4999	5000	4990	6	6	9	8	77	90	0	0
9	baseline	1	40756	41437	33495	33934	350076	358737	80673	70892	0	0	1	0	4999	5000	0	0	2573	2605	1471	1473	4999	5000	5000	4990	19	17	25	23	95	100	0	0
9	baseline	2	41209	41734	33765	33110	353309	360516	76717	69640	0	0	1	1	4999	4999	0	0	2523	2660	1447	1476	4999	4999	5000	4990	19	17	24	22	96	83	0	0
9	baseline	3	41798	41776	34041	32906	354029	363068	75132	67250	0	1	0	1	5000	4998	0	0	2578	2640	1499	1451	5000	4998	5000	4990	19	17	23	23	100	96	0	0
10	baseline	1	25852	26231	23038	23231	416630	421246	39480	34292	0	0	0	0	5000	5000	0	0	2899	2920	1617	1652	5000	5000	5000	4990	9	9	13	12	71	63	0	0
10	baseline	2	26069	26094	23174	23270	418703	422838	37054	32798	0	0	0	0	5000	5000	0	0	2869	2943	1594	1638	5000	5000	5000	4990	9	8	12	11	63	57	0	0
10	baseline	3	26148	26156	23217	23485	418371	421362	37264	33997	0	0	0	0	5000	5000	0	0	2860	2949	1606	1653	5000	5000	5000	4990	9	9	12	12	60	59	0	0
11	baseline	1	16422	16551	42205	42831	382964	388619	63409	56999	0	0	0	0	5000	5000	0	0	1871	1895	2421	2422	5000	5000	5000	4990	14	13	19	17	80	93	0	0
11	baseline	2	16550	16650	42609	42788	386877	391565	58964	53997	0	0	0	1	5000	4999	0	0	1849	1948	2395	2489	5000	4999	5000	4990	14	13	18	17	94	96	0	0
11	baseline	3	16817	16816	43190	42895	387068	392359	57925	52930	0	0	1	0	4999	5000	0	0	1865	1964	2451	2448	4999	5000	5000	4990	14	13	18	16	79	90	0	0
12	baseline	1	10231	10602	29967	29187	433724	436896	31078	28315	0	0	0	0	5000	5000	0	0	2187	2136	2649	2608	5000	5000	5000	4990	7	6	9	9	57	52	0	0
12	baseline	2	10663	10290	28894	29741	435448	437235	29995	27734	0	0	0	0	5000	5000	0	0	2139	2199	2548	2719	5000	5000	5000	4990	7	6	9	9	54	63	0	0
12	baseline	3	10597	10275	29748	29202	436018	439466	28637	26057	0	0	0	0	5000	5000	0	0	2146	2264	2657	2644	5000	5000	5000	4990	7	6	9	9	56	57	0	0
13	baseline	1	6594	6533	20565	20600	440566	444488	37275	33379	0	0	0	0	4999	5000	1	0	1424	1477	2379	2418	4999	5000	5000	4990	8	7	10	9	44	48	0	0
13	baseline	2	6627	6526	20464	20789	444354	447096	33555	30589	0	0	0	0	4999	5000	1	0	1454	1525	2391	2528	4999	5000	5000	4990	7	7	9	9	47	39	0	0
13	baseline	3	6614	6494	20746	20182	442665	446708	34975	31616	0	0	0	0	5000	5000	0	0	1418	1553	2420	2440	5000	5000	5000	4990	8	7	10	9	43	44	0	0
14	baseline	1	37114	35979	38041	37257	389302	396432	40543	35332	0	0	0	0	5000	5000	0	0	3385	3326	1809	1804	5000	5000	5000	4990	10	9	16	14	84	93	0	0
14	baseline	2	37812	38048	37902	37892	391269	395465	38017	33595	0	0	0	0	5000	5000	0	0	3255	3335	1786	1800	5000	5000	5000	4990	10	9	16	14	92	94	0	0
14	baseline	3	38045	37829	37896	38000	393819	398155	35240	31016	0	1	0	0	5000	4999	0	0	3328	3385	1797	1778	5000	4999	5000	4990	9	8	14	15	99	94	0	0
15	baseline	1	23474	23378	26260	26415	359524	370479	95742	84728	0	0	0	0	4994	5000	6	0	1720	1755	1486	1476	4994	5000	5000	4990	22	19	26	24	78	72	0	0
15	baseline	2	23650	23636	26369	26316	365563	374859	89418	80189	0	0	0	0	4995	4999	5	1	1706	1821	1423	1522	4995	4999	5000	4990	21	19	24	22	74	77	0	0
