point_id	beta	gamma	sigma
0	0.22360680	0.14422496	0.15848932
1	0.14953488	0.20800838	0.25118864
2	0.33437015	0.11298310	0.39810717
3	0.12228445	0.16294982	0.63095734
4	0.27343635	0.23501431	0.10964782
5	0.18285791	0.12765180	0.17378008
6	0.40888272	0.18410575	0.27542287
7	0.11058230	0.26552645	0.43651583
8	0.24726954	0.10415285	0.69183097
9	0.16535911	0.15021440	0.12022644
10	0.36975421	0.21664666	0.19054607
11	0.13522496	0.11767511	0.30199517
12	0.30237221	0.16971688	0.47863009
13	0.20220849	0.24477410	0.75857758
14	0.45215192	0.13295299	0.13182567
15	0.10515812	0.19175139	0.20892961
16	0.23514070	0.27655336	0.33113112
17	0.15724807	0.10847816	0.52480746
18	0.35161737	0.15645258	0.83176377
19	0.12859203	0.22564367	0.14454398
20	0.28754053	0.12256199	0.22908677
21	0.19228994	0.17676497	0.36307805
22	0.42997338	0.25493920	0.57543994
23	0.11628627	0.13847433	0.91201084
24	0.26002400	0.19971454	0.10185914
25	0.17388853	0.28803821	0.16143586
26	0.38882658	0.10136555	0.25585859
27	0.14220003	0.14619442	0.40550854
28	0.31796893	0.21084884	0.64268772
29	0.21263864	0.11452594	0.11168632
30	0.47547446	0.16517499	0.17701090
31	0.10254663	0.23822355	0.28054336
32	0.22930124	0.12939495	0.44463127
33	0.15334298	0.18661981	0.70469307
34	0.34288533	0.26915234	0.12246162
35	0.12539859	0.10557511	0.19408859
36	0.28039977	0.15226566	0.30760968
37	0.18751463	0.21960508	0.48752849
38	0.41929546	0.11928203	0.77268059
39	0.11339843	0.17203445	0.13427650
40	0.25356659	0.24811662	0.21281390
41	0.16957020	0.13476853	0.33728731
42	0.37917049	0.19436985	0.53456436
43	0.13866865	0.28032984	0.84722741
44	0.31007252	0.10995949	0.14723125
45	0.20735799	0.15858902	0.23334581
46	0.46366657	0.22872495	0.36982818
47	0.10783611	0.12423563	0.58613816
48	0.24112888	0.17917879	0.92896639
49	0.16125260	0.25842053	0.10375284
50	0.36057177	0.14036526	0.16443717
51	0.13186680	0.20244174	0.26061535
52	0.29486313	0.29197151	0.41304750
53	0.19718686	0.10274975	0.65463617
54	0.44092322	0.14819078	0.11376273
55	0.11924765	0.21372809	0.18030177
56	0.26664586	0.11608985	0.28575905
57	0.17831683	0.16743053	0.45289758
58	0.39872856	0.24147662	0.71779429
59	0.14582134	0.13116191	0.12473835
60	0.32606644	0.18916820	0.19769696
61	0.21805377	0.27282776	0.31332857
62	0.48758305	0.10701679	0.49659232
63	0.10126531	0.15434492	0.78704579
64	0.22643612	0.22260390	0.13677288
65	0.15142696	0.12091089	0.21677041
66	0.33860098	0.17438367	0.34355795
67	0.12383173	0.25150478	0.54450265
68	0.27689617	0.13660886	0.86297855
69	0.18517163	0.19702407	0.14996848
70	0.41405636	0.28415788	0.23768403
71	0.11198151	0.11146104	0.37670380
72	0.25039827	0.16075464	0.59703529
73	0.16745142	0.23184830	0.94623716
74	0.37443275	0.12593213	0.10568175
75	0.13693598	0.18162556	0.16749429
76	0.30619816	0.26194939	0.26546056
77	0.20476705	0.14228202	0.42072663
78	0.45787305	0.20520619	0.66680677
79	0.10648870	0.29595853	0.11587774
80	0.23811597	0.10045313	0.18365383
81	0.15923774	0.14487848	0.29107171
82	0.35606642	0.20895093	0.46131757
83	0.13021912	0.11349505	0.73113908
84	0.29117881	0.16368819	0.12705741
85	0.19472301	0.23607923	0.20137242
86	0.43541388	0.12823023	0.31915379
87	0.11775765	0.18493999	0.50582466
88	0.26331412	0.26672962	0.80167806
89	0.17608876	0.10462479	0.13931568
90	0.39374644	0.15089507	0.22080047
91	0.14399930	0.21762834	0.34994517
92	0.32199223	0.11820833	0.55462571
93	0.21532918	0.17048592	0.87902252
94	0.48149069	0.24588324	0.15275661
95	0.10384417	0.13355543	0.24210290
96	0.23220262	0.19262027	0.38370725
97	0.15528325	0.27780650	0.60813500
98	0.34722390	0.10896971	0.96382902
99	0.12698527	0.15716151	0.10764652
100	0.28394770	0.22666612	0.17060824
101	0.18988727	0.12311735	0.27039584
102	0.42460085	0.17756594	0.42854852
103	0.11483327	0.25609440	0.67920363
104	0.25677500	0.13910179	0.11803206
105	0.17171579	0.20061950	0.18706821
106	0.38396818	0.28934339	0.29648314
107	0.14042324	0.10182487	0.46989411
108	0.31399591	0.14685687	0.74473197
109	0.20998172	0.21180426	0.12941958
110	0.46953340	0.11504489	0.20511622
111	0.10920057	0.16592344	0.32508730
112	0.24417991	0.23930301	0.51522864
113	0.16329295	0.12998128	0.81658237
114	0.36513413	0.18746544	0.14190575
115	0.13353533	0.27037195	0.22490546
116	0.29859407	0.10605350	0.35645113
117	0.19968189	0.15295561	0.56493697
118	0.44650227	0.22060017	0.89536477
119	0.12075651	0.11982253	0.15559656
120	0.27001976	0.17281399	0.24660393
121	0.18057310	0.24924090	0.39084090
122	0.40377372	0.13537920	0.61944108
123	0.14766644	0.19525060	0.98174794
124	0.33019219	0.28160009	0.10036909
125	0.22081283	0.11045774	0.15907429
126	0.49375249	0.15930763	0.25211576
127	0.10063067	0.22976136	0.39957656
128	0.22501701	0.12479858	0.63328616
129	0.15047795	0.17999070	0.11005252
130	0.33647891	0.25959150	0.17442149
131	0.12305566	0.14100130	0.27643944
132	0.27516083	0.20335906	0.43812698
133	0.18401113	0.29329452	0.69438447
134	0.41146141	0.10321534	0.12067019
135	0.11127971	0.14886228	0.19124936
136	0.24882899	0.21469655	0.30310982
137	0.16640198	0.11661588	0.48039668
138	0.37208613	0.16818921	0.76137743
139	0.13607778	0.24257081	0.13231223
140	0.30427917	0.13175624	0.20970076
141	0.20348375	0.19002537	0.33235330
142	0.45500349	0.27406401	0.52674449
143	0.10582132	0.10750171	0.83483375
144	0.23662366	0.15504430	0.14507748
145	0.15823978	0.22361258	0.22993231
146	0.35383490	0.12145877	0.36441815
147	0.12940302	0.17517385	0.57756385
