point_id	peak_S_child	peak_S_adult	peak_E_child	peak_E_adult	peak_I_child	peak_I_adult	peak_R_child	peak_R_adult
0	4990.000000	5000.000000	2129.000000	2111.000000	2828.000000	2780.000000	5000.000000	5000.000000
1	4990.000000	5000.000000	2210.000000	2200.000000	2840.000000	2806.000000	5000.000000	5000.000000
2	4990.000000	5000.000000	2119.000000	2127.000000	2807.000000	2812.000000	5000.000000	5000.000000
3	4990.000000	5000.000000	3307.000000	3252.000000	2148.000000	2142.000000	4997.000000	4995.000000
4	4990.000000	5000.000000	3315.000000	3207.000000	2111.000000	2108.000000	4996.000000	4998.000000
5	4990.000000	5000.000000	3232.000000	3223.000000	2112.000000	2162.000000	4997.000000	4998.000000
6	4990.000000	5000.000000	2504.000000	2367.000000	982.000000	881.000000	5000.000000	4997.000000
7	4990.000000	5000.000000	2512.000000	2443.000000	915.000000	895.000000	5000.000000	4999.000000
8	4990.000000	5000.000000	2486.000000	2407.000000	910.000000	935.000000	5000.000000	4999.000000
9	4990.000000	5000.000000	2591.000000	2590.000000	2433.000000	2425.000000	5000.000000	5000.000000
10	4990.000000	5000.000000	2642.000000	2549.000000	2480.000000	2421.000000	4999.000000	5000.000000
11	4990.000000	5000.000000	2619.000000	2573.000000	2418.000000	2434.000000	5000.000000	5000.000000
12	4990.000000	5000.000000	3142.000000	3065.000000	1921.000000	1877.000000	5000.000000	5000.000000
13	4990.000000	5000.000000	3216.000000	3114.000000	1937.000000	1954.000000	4999.000000	5000.000000
14	4990.000000	5000.000000	3100.000000	3125.000000	1893.000000	1921.000000	5000.000000	5000.000000
15	4990.000000	5000.000000	2122.000000	2057.000000	2893.000000	2853.000000	5000.000000	5000.000000
16	4990.000000	5000.000000	2137.000000	2067.000000	2881.000000	2866.000000	4999.000000	5000.000000
17	4990.000000	5000.000000	2055.000000	2079.000000	2910.000000	2894.000000	5000.000000	4999.000000
18	4990.000000	5000.000000	1980.000000	2024.000000	2648.000000	2609.000000	5000.000000	5000.000000
19	4990.000000	5000.000000	2103.000000	2093.000000	2653.000000	2675.000000	5000.000000	5000.000000
20	4990.000000	5000.000000	1966.000000	2031.000000	2633.000000	2598.000000	5000.000000	5000.000000
21	4990.000000	5000.000000	2287.000000	2258.000000	3695.000000	3609.000000	4963.000000	4962.000000
22	4990.000000	5000.000000	2341.000000	2238.000000	3645.000000	3668.000000	4961.000000	4956.000000
23	4990.000000	5000.000000	2295.000000	2321.000000	3683.000000	3659.000000	4959.000000	4963.000000
24	4990.000000	5000.000000	2300.000000	2179.000000	2720.000000	2657.000000	5000.000000	5000.000000
25	4990.000000	5000.000000	2295.000000	2203.000000	2708.000000	2675.000000	4999.000000	5000.000000
26	4990.000000	5000.000000	2194.000000	2179.000000	2644.000000	2638.000000	5000.000000	5000.000000
27	4990.000000	5000.000000	3331.000000	3250.000000	2157.000000	2119.000000	4979.000000	4979.000000
28	4990.000000	5000.000000	3325.000000	3267.000000	2138.000000	2129.000000	4979.000000	4978.000000
29	4990.000000	5000.000000	3260.000000	3327.000000	2150.000000	2150.000000	4985.000000	4985.000000
30	4990.000000	5000.000000	2869.000000	2826.000000	1791.000000	1749.000000	5000.000000	5000.000000
31	4990.000000	5000.000000	2881.000000	2843.000000	1765.000000	1738.000000	5000.000000	5000.000000
32	4990.000000	5000.000000	2824.000000	2825.000000	1775.000000	1783.000000	5000.000000	5000.000000
33	4990.000000	5000.000000	2400.000000	2306.000000	1740.000000	1643.000000	5000.000000	5000.000000
34	4990.000000	5000.000000	2411.000000	2387.000000	1686.000000	1657.000000	5000.000000	5000.000000
35	4990.000000	5000.000000	2402.000000	2342.000000	1669.000000	1714.000000	5000.000000	5000.000000
36	4990.000000	5000.000000	1979.000000	1942.000000	3013.000000	2948.000000	5000.000000	5000.000000
37	4990.000000	5000.000000	1841.000000	1953.000000	2991.000000	2962.000000	5000.000000	5000.000000
38	4990.000000	5000.000000	1924.000000	1961.000000	2953.000000	2989.000000	5000.000000	5000.000000
39	4990.000000	5000.000000	1986.000000	1850.000000	3885.000000	3884.000000	4960.000000	4965.000000
40	4990.000000	5000.000000	1887.000000	1958.000000	3897.000000	3916.000000	4969.000000	4953.000000
41	4990.000000	5000.000000	1977.000000	1842.000000	3915.000000	3877.000000	4959.000000	4963.000000
42	4990.000000	5000.000000	2662.000000	2623.000000	3126.000000	3071.000000	4997.000000	4992.000000
43	4990.000000	5000.000000	2679.000000	2587.000000	3133.000000	3100.000000	4992.000000	4996.000000
44	4990.000000	5000.000000	2580.000000	2502.000000	3047.000000	3089.000000	4994.000000	4995.000000
45	4990.000000	5000.000000	2466.000000	2387.000000	2684.000000	2604.000000	4999.000000	5000.000000
46	4990.000000	5000.000000	2456.000000	2405.000000	2625.000000	2639.000000	5000.000000	4999.000000
47	4990.000000	5000.000000	2447.000000	2361.000000	2654.000000	2651.000000	4999.000000	5000.000000
48	4990.000000	5000.000000	3032.000000	3017.000000	2753.000000	2739.000000	4978.000000	4981.000000
49	4990.000000	5000.000000	3086.000000	3015.000000	2718.000000	2755.000000	4978.000000	4978.000000
50	4990.000000	5000.000000	3033.000000	3041.000000	2682.000000	2729.000000	4984.000000	4979.000000
51	4990.000000	5000.000000	2017.000000	1854.000000	1849.000000	1776.000000	5000.000000	4999.000000
52	4990.000000	5000.000000	1960.000000	2016.000000	1785.000000	1797.000000	5000.000000	5000.000000
53	4990.000000	5000.000000	1996.000000	1924.000000	1757.000000	1776.000000	5000.000000	5000.000000
54	4990.000000	5000.000000	2706.000000	2573.000000	1677.000000	1656.000000	5000.000000	5000.000000
55	4990.000000	5000.000000	2636.000000	2621.000000	1664.000000	1666.000000	5000.000000	5000.000000
56	4990.000000	5000.000000	2583.000000	2579.000000	1672.000000	1647.000000	5000.000000	5000.000000
57	4990.000000	5000.000000	1803.000000	1850.000000	3683.000000	3607.000000	4999.000000	4996.000000
58	4990.000000	5000.000000	1886.000000	1863.000000	3674.000000	3689.000000	4996.000000	4998.000000
59	4990.000000	5000.000000	1911.000000	1738.000000	3683.000000	3673.000000	4997.000000	4996.000000
60	4990.000000	5000.000000	2553.000000	2426.000000	609.000000	572.000000	4999.000000	4995.000000
61	4990.000000	5000.000000	2595.000000	2505.000000	622.000000	579.000000	5000.000000	4995.000000
62	4990.000000	5000.000000	2527.000000	2435.000000	591.000000	587.000000	5000.000000	4992.000000
63	4990.000000	5000.000000	2322.000000	2164.000000	2834.000000	2711.000000	5000.000000	5000.000000
64	4990.000000	5000.000000	2250.000000	2271.000000	2808.000000	2767.000000	5000.000000	5000.000000
65	4990.000000	5000.000000	2293.000000	2203.000000	2759.000000	2801.000000	5000.000000	5000.000000
66	4990.000000	5000.000000	2072.000000	2005.000000	2145.000000	2020.000000	5000.000000	5000.000000
67	4990.000000	5000.000000	2099.000000	1999.000000	2095.000000	2051.000000	5000.000000	5000.000000
68	4990.000000	5000.000000	2046.000000	2065.000000	2101.000000	2128.000000	5000.000000	5000.000000
69	4990.000000	5000.000000	1634.000000	1635.000000	1761.000000	1672.000000	4999.000000	4998.000000
70	4990.000000	5000.000000	1665.000000	1684.000000	1742.000000	1697.000000	5000.000000	4998.000000
71	4990.000000	5000.000000	1640.000000	1693.000000	1759.000000	1727.000000	5000.000000	5000.000000
72	4990.000000	5000.000000	2139.000000	2033.000000	651.000000	613.000000	4994.000000	4973.000000
73	4990.000000	5000.000000	2134.000000	2071.000000	657.000000	572.000000	4991.000000	4970.000000
74	4990.000000	5000.000000	2079.000000	2020.000000	617.000000	624.000000	4994.000000	4966.000000
75	4990.000000	5000.000000	1935.000000	2053.000000	3829.000000	3788.000000	4997.000000	4994.000000
76	4990.000000	5000.000000	2150.000000	1872.000000	3847.000000	3824.000000	4992.000000	4997.000000
77	4990.000000	5000.000000	1875.000000	2119.000000	3831.000000	3814.000000	4995.000000	4996.000000
78	4990.000000	5000.000000	2273.000000	2241.000000	1833.000000	1732.000000	5000.000000	5000.000000
79	4990.000000	5000.000000	2290.000000	2265.000000	1803.000000	1768.000000	5000.000000	5000.000000
80	4990.000000	5000.000000	2239.000000	2298.000000	1756.000000	1833.000000	5000.000000	5000.000000
81	4990.000000	5000.000000	2618.000000	2448.000000	1154.000000	1059.000000	5000.000000	5000.000000
82	4990.000000	5000.000000	2555.000000	2578.000000	1084.000000	1071.000000	5000.000000	4999.000000
83	4990.000000	5000.000000	2628.000000	2475.000000	1092.000000	1085.000000	5000.000000	5000.000000
84	4990.000000	5000.000000	2116.000000	1906.000000	1987.000000	1961.000000	5000.000000	5000.000000
85	4990.000000	5000.000000	2119.000000	2029.000000	1936.000000	1978.000000	5000.000000	5000.000000
86	4990.000000	5000.000000	2102.000000	1954.000000	1994.000000	1970.000000	5000.000000	5000.000000
87	4990.000000	5000.000000	1933.000000	1897.000000	3711.000000	3644.000000	4998.000000	4997.000000
88	4990.000000	5000.000000	2009.000000	1783.000000	3702.000000	3667.000000	4999.000000	4996.000000
89	4990.000000	5000.000000	1781.000000	1889.000000	3671.000000	3668.000000	4998.000000	4999.000000
90	4990.000000	5000.000000	3316.000000	3313.000000	2249.000000	2203.000000	4994.000000	4989.000000
91	4990.000000	5000.000000	3423.000000	3336.000000	2242.000000	2237.000000	4987.000000	4991.000000
92	4990.000000	5000.000000	3362.000000	3323.000000	2213.000000	2219.000000	4993.000000	4990.000000
93	4990.000000	5000.000000	2658.000000	2558.000000	609.000000	578.000000	5000.000000	4995.000000
94	4990.000000	5000.000000	2601.000000	2572.000000	578.000000	543.000000	5000.000000	4997.000000
95	4990.000000	5000.000000	2627.000000	2525.000000	589.000000	572.000000	5000.000000	4996.000000
96	4990.000000	5000.000000	2474.000000	2280.000000	3071.000000	3086.000000	5000.000000	5000.000000
97	4990.000000	5000.000000	2489.000000	2307.000000	3078.000000	3073.000000	5000.000000	5000.000000
98	4990.000000	5000.000000	2370.000000	2332.000000	3041.000000	3047.000000	5000.000000	5000.000000
99	4990.000000	5000.000000	2121.000000	2080.000000	3317.000000	3268.000000	5000.000000	5000.000000
100	4990.000000	5000.000000	1976.000000	2070.000000	3336.000000	3327.000000	5000.000000	5000.000000
101	4990.000000	5000.000000	2085.000000	2104.000000	3248.000000	3306.000000	5000.000000	5000.000000
102	4990.000000	5000.000000	2281.000000	2268.000000	2642.000000	2544.000000	5000.000000	5000.000000
103	4990.000000	5000.000000	2346.000000	2252.000000	2634.000000	2587.000000	5000.000000	5000.000000
104	4990.000000	5000.000000	2284.000000	2292.000000	2558.000000	2605.000000	5000.000000	5000.000000
105	4990.000000	5000.000000	1780.000000	1692.000000	3292.000000	3214.000000	5000.000000	5000.000000
106	4990.000000	5000.000000	1681.000000	1761.000000	3276.000000	3265.000000	5000.000000	5000.000000
107	4990.000000	5000.000000	1724.000000	1609.000000	3262.000000	3234.000000	5000.000000	5000.000000
108	4990.000000	5000.000000	2596.000000	2567.000000	3162.000000	3162.000000	4978.000000	4981.000000
109	4990.000000	5000.000000	2683.000000	2629.000000	3194.000000	3169.000000	4980.000000	4982.000000
110	4990.000000	5000.000000	2675.000000	2617.000000	3157.000000	3215.000000	4982.000000	4981.000000
111	4990.000000	5000.000000	1858.000000	1858.000000	3693.000000	3597.000000	5000.000000	4999.000000
112	4990.000000	5000.000000	1747.000000	1855.000000	3694.000000	3673.000000	4999.000000	5000.000000
113	4990.000000	5000.000000	1867.000000	1789.000000	3635.000000	3645.000000	4999.000000	5000.000000
114	4990.000000	5000.000000	2418.000000	2340.000000	1733.000000	1649.000000	5000.000000	5000.000000
115	4990.000000	5000.000000	2432.000000	2408.000000	1685.000000	1653.000000	5000.000000	5000.000000
